chain_groups components_vb vb_perp vb_ess components_vb2 vb2_perp vb2_ess N_importance_to_adapt
1 5 0.844230527158 0.220100097401 5 0.882955372793 0.417517187131 6000
1 5 0.851694672544 0.518939041369 5 0.88102587355 0.734002844409 6000
1 5 0.882648474118 0.722527264951 5 0.860603989669 0.168211054678 6000
1 5 0.863329179531 0.710050690384 5 0.876972246028 0.695609403534 6000
1 5 0.879418871143 0.754398583305 5 0.898939191586 0.759006468018 6000
1 4 0.842082921303 0.636947173412 4 0.868860515541 0.740124960822 6000
1 5 0.875150529527 0.714190514592 5 0.869473241564 0.279668581748 6000
1 5 0.890876975572 0.724728337432 5 0.906771682679 0.797955845842 6000
1 4 0.851857403411 0.656970939623 4 0.870474600429 0.720694279107 6000
1 5 0.871021060881 0.579949895461 5 0.881390089354 0.582724936976 6000
1 5 0.875709407791 0.732700398226 5 0.894779062373 0.773900882895 6000
1 4 0.812429117391 0.443839745565 4 0.833855261397 0.673539060619 6000
1 5 0.868632172473 0.722497151237 5 0.885002427492 0.741583665709 6000
1 4 0.860695429303 0.719912866868 4 0.861611636845 0.574188878726 6000
1 4 0.80506348707 0.559583507945 4 0.83124037315 0.677615922281 6000
1 4 0.780761748052 0.0571226816014 4 0.866159412883 0.635729168867 6000
1 4 0.855567261077 0.726001771463 4 0.875334481496 0.754945359043 6000
1 4 0.827355744711 0.629007695683 4 0.843299802098 0.633248914169 6000
1 4 0.864121927713 0.717977123733 4 0.868768984975 0.525577031949 6000
1 4 0.871035661104 0.736599085439 4 0.884377296411 0.693718370414 6000
1 4 0.852440277342 0.72047532916 4 0.866755658987 0.727643079887 6000
1 5 0.866650746557 0.527380708581 5 0.889162215751 0.649133966895 6000
1 5 0.873044403209 0.711222038535 5 0.889160744757 0.759279080893 6000
1 4 0.838000449419 0.634018892333 4 0.854869098218 0.681268162259 6000
1 4 0.811297933489 0.20432351895 4 0.836293967694 0.217452334666 6000
1 5 0.88299938273 0.609946168157 5 0.892372308854 0.424705720262 6000
1 4 0.83560315882 0.638719441115 4 0.846408365928 0.688228267876 6000
1 4 0.859580790871 0.68220182476 4 0.872507098267 0.63740583054 6000
1 4 0.850341305018 0.688069993464 4 0.870607605393 0.766240167804 6000
1 4 0.831747042996 0.318493239192 4 0.866499893198 0.736481063058 6000
1 4 0.841925462994 0.632681605088 4 0.867496233271 0.720842866791 6000
1 4 0.82708806442 0.571997903222 4 0.855120681991 0.711734155043 6000
1 5 0.868749687652 0.440402252356 5 0.879443680915 0.49559160726 6000
1 5 0.896649091564 0.787692998586 5 0.910862479084 0.801602100069 6000
1 5 0.8557470866 0.539271901805 5 0.889785373001 0.741349059126 6000
1 4 0.847445868821 0.471605187494 4 0.853857947291 0.430665175582 6000
1 4 0.852965479106 0.699148382032 4 0.828253968664 0.24302428234 6000
1 4 0.858866077163 0.670511562045 4 0.867132438172 0.446371764015 6000
1 4 0.842982357487 0.697520311904 4 0.853709218417 0.496042909724 6000
1 5 0.878842163258 0.615967435014 5 0.83442440615 0.0711917172508 6000
1 5 0.859282702907 0.180129629465 5 0.903280490725 0.739176837341 6000
1 5 0.858977110297 0.148081573897 5 0.901623961612 0.468045712606 6000
1 4 0.85287080608 0.681014478589 4 0.867173159898 0.483587639113 6000
1 4 0.851152643201 0.660474786103 4 0.873939839344 0.734249377995 6000
1 4 0.856282594637 0.669801789335 4 0.756331863637 0.020726036562 6000
